Symbol,Security,Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded
MMM,3M,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota",04/03/1957,66740,1902
AOS,A. O. Smith,Industrials,Building Products,"Milwaukee, Wisconsin",26/07/2017,91142,1916
ABT,Abbott,Health Care,Health Care Equipment,"North Chicago, Illinois",04/03/1957,1800,1888
ABBV,AbbVie,Health Care,Pharmaceuticals,"North Chicago, Illinois",31/12/2012,1551152,2013 (1888)
ACN,Accenture,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",06/07/2011,1467373,1989
ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,"Santa Monica, California",31/08/2015,718877,2008
ADM,ADM,Consumer Staples,Agricultural Products,"Chicago, Illinois",04/03/1957,7084,1902
ADBE,Adobe Inc.,Information Technology,Application Software,"San Jose, California",05/05/1997,796343,1982
ADP,ADP,Information Technology,Data Processing & Outsourced Services,"Roseland, New Jersey",31/03/1981,8670,1949
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",09/07/2015,1158449,1932
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",02/10/1998,874761,1981
AFL,Aflac,Financials,Life & Health Insurance,"Columbus, Georgia",28/05/1999,4977,1955
A,Agilent Technologies,Health Care,Health Care Equipment,"Santa Clara, California",05/06/2000,1090872,1999
APD,Air Products and Chemicals,Materials,Industrial Gases,"Allentown, Pennsylvania",30/04/1985,2969,1940
AKAM,Akamai,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",12/07/2007,1086222,1998
ALK,Alaska Air Group,Industrials,Airlines,"SeaTac, Washington",13/05/2016,766421,1985
ALB,Albemarle Corporation,Materials,Specialty Chemicals,"Charlotte, North Carolina",01/07/2016,915913,1994
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California",20/03/2017,1035443,1994
ALGN,Align Technology,Health Care,Health Care Supplies,"Tempe, Arizona",19/06/2017,1097149,1997
ALLE,Allegion,Industrials,Building Products,"New York City, New York",02/12/2013,1579241,1908
LNT,Alliant Energy,Utilities,Electric Utilities,"Madison, Wisconsin",01/07/2016,352541,1917
ALL,Allstate,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",13/07/1995,899051,1931
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,"Mountain View, California",03/04/2014,1652044,1998
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,"Mountain View, California",03/04/2006,1652044,1998
MO,Altria,Consumer Staples,Tobacco,"Richmond, Virginia",04/03/1957,764180,1985
AMZN,Amazon,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",18/11/2005,1018724,1994
AMCR,Amcor,Materials,Paper Packaging,"Warmley, Bristol, United Kingdom",07/06/2019,1748790,2019 (1860)
AMD,AMD,Information Technology,Semiconductors,"Santa Clara, California",20/03/2017,2488,1969
AEE,Ameren,Utilities,Multi-Utilities,"St. Louis, Missouri",19/09/1991,1002910,1902
AAL,American Airlines Group,Industrials,Airlines,"Fort Worth, Texas",23/03/2015,6201,1934
AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",04/03/1957,4904,1906
AXP,American Express,Financials,Consumer Finance,"New York City, New York",30/06/1976,4962,1850
AIG,American International Group,Financials,Property & Casualty Insurance,"New York City, New York",31/03/1980,5272,1919
AMT,American Tower,Real Estate,Specialized REITs,"Boston, Massachusetts",19/11/2007,1053507,1995
AWK,American Water Works,Utilities,Water Utilities,"Camden, New Jersey",04/03/2016,1410636,1886
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",03/10/2005,820027,1894
ABC,AmerisourceBergen,Health Care,Health Care Distributors,"Conshohocken, Pennsylvania",30/08/2001,1140859,1985
AME,Ametek,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",23/09/2013,1037868,1930
AMGN,Amgen,Health Care,Biotechnology,"Thousand Oaks, California",02/01/1992,318154,1980
APH,Amphenol,Information Technology,Electronic Components,"Wallingford, Connecticut",30/09/2008,820313,1932
ADI,Analog Devices,Information Technology,Semiconductors,"Wilmington, Massachusetts",12/10/1999,6281,1965
ANSS,Ansys,Information Technology,Application Software,"Canonsburg, Pennsylvania",19/06/2017,1013462,1969
AON,Aon,Financials,Insurance Brokers,"London, UK",23/04/1996,315293,1982 (1919)
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas",28/07/1997,1841666,1954
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",30/11/1982,320193,1977
AMAT,Applied Materials,Information Technology,Semiconductor Equipment,"Santa Clara, California",16/03/1995,6951,1967
APTV,Aptiv,Consumer Discretionary,Auto Parts & Equipment,"Dublin, Ireland",24/12/2012,1521332,1994
ACGL,Arch Capital Group,Financials,Reinsurance,"Hamilton, Bermuda",01/11/2022,947484,1995
ANET,Arista Networks,Information Technology,Communications Equipment,"Santa Clara, California",28/08/2018,1596532,2004
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Rolling Meadows, Illinois",31/05/2016,354190,1927
AIZ,Assurant,Financials,Multi-line Insurance,"New York City, New York",10/04/2007,1267238,1892
T,AT&T,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",30/11/1983,732717,1983 (1885)
ATO,Atmos Energy,Utilities,Gas Utilities,"Dallas, Texas",15/02/2019,731802,1906
ADSK,Autodesk,Information Technology,Application Software,"San Francisco, California",01/12/1989,769397,1982
AZO,AutoZone,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",02/01/1997,866787,1979
AVB,AvalonBay Communities,Real Estate,Residential REITs,"Arlington, Virginia",10/01/2007,915912,1978
AVY,Avery Dennison,Materials,Paper Packaging,"Glendale, California",31/12/1987,8818,1990
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,"Houston, Texas",07/07/2017,1701605,2017
BALL,Ball Corporation,Materials,Metal & Glass Containers,"Broomfield, Colorado",31/10/1984,9389,1880
BAC,Bank of America,Financials,Diversified Banks,"Charlotte, North Carolina",30/06/1976,70858,1998 (1923 / 1874)
BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,Specialty Stores,"Columbus, Ohio",30/09/1983,701985,1963
BAX,Baxter International,Health Care,Health Care Equipment,"Deerfield, Illinois",30/09/1972,10456,1931
BDX,Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",30/09/1972,10795,1897
WRB,Berkley,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",05/12/2019,11544,1967
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,"Omaha, Nebraska",16/02/2010,1067983,1839
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",29/06/1999,764478,1966
BIO,Bio-Rad,Health Care,Life Sciences Tools & Services,"Hercules, California",22/06/2020,12208,1952
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,"Minneapolis, Minnesota",30/08/2021,842023,1976
BIIB,Biogen,Health Care,Biotechnology,"Cambridge, Massachusetts",13/11/2003,875045,1978
BLK,BlackRock,Financials,Asset Management & Custody Banks,"New York City, New York",04/04/2011,1364742,1988
BK,BNY Mellon,Financials,Asset Management & Custody Banks,"New York City, New York",31/03/1995,1390777,1784
BA,Boeing,Industrials,Aerospace & Defense,"Chicago, Illinois",04/03/1957,12927,1916
BKNG,Booking Holdings,Consumer Discretionary,Internet & Direct Marketing Retail,"Norwalk, Connecticut",06/11/2009,1075531,1996
BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment,"Auburn Hills, Michigan",19/12/2011,908255,1880
BXP,Boston Properties,Real Estate,Office REITs,"Boston, Massachusetts",03/04/2006,1037540,1970
BSX,Boston Scientific,Health Care,Health Care Equipment,"Marlborough, Massachusetts",24/02/1995,885725,1979
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,"New York City, New York",04/03/1957,14272,1989 (1887)
AVGO,Broadcom Inc.,Information Technology,Semiconductors,"San Jose, California",08/05/2014,1730168,1961
BR,Broadridge Financial Solutions,Information Technology,Data Processing & Outsourced Services,"Lake Success, New York",18/06/2018,1383312,1962
BRO,Brown & Brown,Financials,Insurance Brokers,"Daytona Beach, Florida",20/09/2021,79282,1939
BF.B,Brown–Forman,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",31/10/1982,14693,1870
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",02/03/2007,1043277,1905
CDNS,Cadence Design Systems,Information Technology,Application Software,"San Jose, California",18/09/2017,813672,1988
CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming,"Reno, Nevada",22/03/2021,1590895,1973
CPT,Camden Property Trust,Real Estate,Residential REITs,"Houston, Texas",04/04/2022,906345,1981
CPB,Campbell Soup Company,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",04/03/1957,16732,1869
COF,Capital One,Financials,Consumer Finance,"Tysons Corner, Virginia",01/07/1998,927628,1994
CAH,Cardinal Health,Health Care,Health Care Distributors,"Dublin, Ohio",27/05/1997,721371,1971
KMX,CarMax,Consumer Discretionary,Automotive Retail,"Richmond, Virginia",28/06/2010,1170010,1993
CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",22/12/1998,815097,1972
CARR,Carrier Global,Industrials,Building Products,"Palm Beach Gardens, Florida",03/04/2020,1783180,2020 (1915)
CTLT,Catalent,Health Care,Pharmaceuticals,"Somerset, New Jersey",21/09/2020,1596783,2007
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Trucks,"Irving, Texas",04/03/1957,18230,1925
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,"Chicago, Illinois",01/03/2017,1374310,1973
CBRE,CBRE Group,Real Estate,Real Estate Services,"Dallas, Texas",10/11/2006,1138118,1906
CDW,CDW,Information Technology,Technology Distributors,"Lincolnshire, Illinois",23/09/2019,1402057,1984
CE,Celanese,Materials,Specialty Chemicals,"Irving, Texas",24/12/2018,1306830,1918
CNC,Centene Corporation,Health Care,Managed Health Care,"St. Louis, Missouri",30/03/2016,1071739,1984
CNP,CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas",31/07/1985,1130310,1882
CDAY,Ceridian,Information Technology,Application Software,"Minneapolis, Minnesota",20/09/2021,1725057,1992
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",27/08/2008,1324404,1946
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,"Wilmington, Massachusetts",14/05/2021,1100682,1947
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,"Westlake, Texas",02/06/1997,316709,1971
CHTR,Charter Communications,Communication Services,Cable & Satellite,"Stamford, Connecticut",08/09/2016,1091667,1993
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",04/03/1957,93410,1879
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,"Newport Beach, California",28/04/2011,1058090,1993
CB,Chubb Limited,Financials,Property & Casualty Insurance,"Zurich, Switzerland",15/07/2010,896159,1985
CHD,Church & Dwight,Consumer Staples,Household Products,"Ewing, New Jersey",29/12/2015,313927,1847
CI,Cigna,Health Care,Managed Health Care,"Bloomfield, Connecticut",30/06/1976,1739940,1982
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,"Fairfield, Ohio",18/12/1997,20286,1950
CTAS,Cintas,Industrials,Diversified Support Services,"Mason, Ohio",01/03/2001,723254,1929
CSCO,Cisco,Information Technology,Communications Equipment,"San Jose, California",01/12/1993,858877,1984
C,Citigroup,Financials,Diversified Banks,"New York City, New York",31/05/1988,831001,1998
CFG,Citizens Financial Group,Financials,Regional Banks,"Providence, Rhode Island",29/01/2016,759944,1828
CLX,Clorox,Consumer Staples,Household Products,"Oakland, California",31/03/1969,21076,1913
CME,CME Group,Financials,Financial Exchanges & Data,"Chicago, Illinois",11/08/2006,1156375,1848
CMS,CMS Energy,Utilities,Multi-Utilities,"Jackson, Michigan",04/03/1957,811156,1886
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks,"Atlanta, Georgia",04/03/1957,21344,1886
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",17/11/2006,1058290,1994
CL,Colgate-Palmolive,Consumer Staples,Household Products,"New York City, New York",04/03/1957,21665,1806
CMCSA,Comcast,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",19/11/2002,1166691,1963
CMA,Comerica,Financials,Diversified Banks,"Dallas, Texas",01/12/1995,28412,1849
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",31/08/1983,23217,1919
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,"Houston, Texas",04/03/1957,1163165,2002
ED,Consolidated Edison,Utilities,Electric Utilities,"New York City, New York",04/03/1957,1047862,1823
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,"Victor, New York",01/07/2005,16918,1945
CEG,Constellation Energy,Utilities,Multi-Utilities,"Baltimore, Maryland",02/02/2022,1868275,1999
COO,CooperCompanies,Health Care,Health Care Supplies,"San Ramon, California",23/09/2016,711404,1958
CPRT,Copart,Industrials,Diversified Support Services,"Dallas, Texas",02/07/2018,900075,1982
GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",27/02/1995,24741,1851
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,"Indianapolis, Indiana",03/06/2019,1755672,2019
CSGP,CoStar Group,Industrials,Research & Consulting Services,"Washington, D.C.",19/09/2022,1057352,1987
COST,Costco,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington",01/10/1993,909832,1976
CTRA,Coterra,Energy,Oil & Gas Exploration & Production,"Houston, Texas",23/06/2008,858470,2021 (1989)
CCI,Crown Castle,Real Estate,Specialized REITs,"Houston, Texas",14/03/2012,1051470,1994
CSX,CSX,Industrials,Railroads,"Jacksonville, Florida",04/03/1957,277948,1980
CMI,Cummins,Industrials,Industrial Machinery,"Columbus, Indiana",31/03/1965,26172,1919
CVS,CVS Health,Health Care,Health Care Services,"Woonsocket, Rhode Island",04/03/1957,64803,1996
DHI,D.R. Horton,Consumer Discretionary,Homebuilding,"Arlington, Texas",22/06/2005,882184,1978
DHR,Danaher Corporation,Health Care,Health Care Equipment,"Washington, D.C.",18/11/1998,313616,1969
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,"Orlando, Florida",31/05/1995,940944,1938
DVA,DaVita Inc.,Health Care,Health Care Facilities,"Denver, Colorado",31/07/2008,927066,1979
DE,John Deere,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",04/03/1957,315189,1837
DAL,Delta Air Lines,Industrials,Airlines,"Atlanta, Georgia",11/09/2013,27904,1929
XRAY,Dentsply Sirona,Health Care,Health Care Supplies,"Charlotte, North Carolina",14/11/2008,818479,2016 (1969)
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",30/08/2000,1090012,1971
DXCM,Dexcom,Health Care,Health Care Equipment,"San Diego, California",12/05/2020,1093557,1999
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,"Midland, Texas",03/12/2018,1539838,2007
DLR,Digital Realty,Real Estate,Specialized REITs,"Austin, Texas",18/05/2016,1297996,2004
DFS,Discover Financial,Financials,Consumer Finance,"Riverwoods, Illinois",02/07/2007,1393612,1985
DISH,Dish Network,Communication Services,Cable & Satellite,"Meridian, Colorado",13/03/2017,1001082,1980
DIS,Disney,Communication Services,Movies & Entertainment,"Burbank, California",30/06/1976,1744489,1923
DG,Dollar General,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee",03/12/2012,29534,1939
DLTR,Dollar Tree,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia",19/12/2011,935703,1986
D,Dominion Energy,Utilities,Electric Utilities,"Richmond, Virginia",,715957,1983
DPZ,Domino's,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",12/05/2020,1286681,1960
DOV,Dover Corporation,Industrials,Industrial Machinery,"Downers Grove, Illinois",31/10/1985,29905,1955
DOW,Dow Inc.,Materials,Commodity Chemicals,"Midland, Michigan",01/04/2019,1751788,2019
DTE,DTE Energy,Utilities,Multi-Utilities,"Detroit, Michigan",04/03/1957,936340,1995
DUK,Duke Energy,Utilities,Electric Utilities,"Charlotte, North Carolina",30/06/1976,1326160,1904
DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",02/04/2019,1666700,2017
DXC,DXC Technology,Information Technology,IT Consulting & Other Services,"Tysons Corner, Virginia",04/04/2017,1688568,2017
EMN,Eastman Chemical Company,Materials,Diversified Chemicals,"Kingsport, Tennessee",01/01/1994,915389,1920
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,"Dublin, Ireland",04/03/1957,1551182,1911
EBAY,eBay,Consumer Discretionary,Internet & Direct Marketing Retail,"San Jose, California",22/07/2002,1065088,1995
ECL,Ecolab,Materials,Specialty Chemicals,"Saint Paul, Minnesota",31/01/1989,31462,1923
EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California",04/03/1957,827052,1886
EW,Edwards Lifesciences,Health Care,Health Care Equipment,"Irvine, California",01/04/2011,1099800,1958
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California",22/07/2002,712515,1982
ELV,Elevance Health,Health Care,Managed Health Care,"Indianapolis, Indiana",25/07/2002,1156039,2014 (1946)
LLY,Eli Lilly and Company,Health Care,Pharmaceuticals,"Indianapolis, Indiana",31/12/1970,59478,1876
EMR,Emerson Electric,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",31/03/1965,32604,1890
ENPH,Enphase,Information Technology,Electronic Components,"Fremont, California",07/01/2021,1463101,2006
ETR,Entergy,Utilities,Electric Utilities,"New Orleans, Louisiana",04/03/1957,65984,1913
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,"Houston, Texas",02/11/2000,821189,1999
EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,"Newtown, Pennsylvania",14/12/2021,1352010,1993
EQT,EQT,Energy,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania",03/10/2022,33213,1888
EFX,Equifax,Industrials,Research & Consulting Services,"Atlanta, Georgia",19/06/1997,33185,1899
EQIX,Equinix,Real Estate,Specialized REITs,"Redwood City, California",20/03/2015,1101239,1998
EQR,Equity Residential,Real Estate,Residential REITs,"Chicago, Illinois",03/12/2001,906107,1969
ESS,Essex Property Trust,Real Estate,Residential REITs,"San Mateo, California",02/04/2014,920522,1971
EL,Estée Lauder Companies (The),Consumer Staples,Personal Products,"New York City, New York",05/01/2006,1001250,1946
ETSY,Etsy,Consumer Discretionary,Internet & Direct Marketing Retail,"New York City, New York",21/09/2020,1370637,2005
RE,Everest Re,Financials,Reinsurance,"Hamilton, Bermuda",19/06/2017,1095073,1973
EVRG,Evergy,Utilities,Electric Utilities,"Kansas City, Missouri",05/06/2018,1711269,1909
ES,Eversource,Utilities,Multi-Utilities,"Hartford, Connecticut",2009,72741,1966
EXC,Exelon,Utilities,Multi-Utilities,"Chicago, Illinois",04/03/1957,1109357,2000
EXPE,Expedia Group,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",02/10/2007,1324424,1996
EXPD,Expeditors International,Industrials,Air Freight & Logistics,"Seattle, Washington",10/10/2007,746515,1979
EXR,Extra Space Storage,Real Estate,Specialized REITs,"Salt Lake City, Utah",19/01/2016,1289490,1977
XOM,ExxonMobil,Energy,Integrated Oil & Gas,"Irving, Texas",04/03/1957,34088,1999
FFIV,"F5, Inc.",Information Technology,Communications Equipment,"Seattle, Washington",20/12/2010,1048695,1996
FDS,FactSet,Financials,Financial Exchanges & Data,"Norwalk, Connecticut",20/12/2021,1013237,1978
FAST,Fastenal,Industrials,Building Products,"Winona, Minnesota",15/09/2008,815556,1967
FRT,Federal Realty,Real Estate,Retail REITs,"Rockville, Maryland",01/02/2016,34903,1962
FDX,FedEx,Industrials,Air Freight & Logistics,"Memphis, Tennessee",31/12/1980,1048911,1971
FITB,Fifth Third Bank,Financials,Regional Banks,"Cincinnati, Ohio",29/03/1996,35527,1858
FRC,First Republic Bank,Financials,Regional Banks,"San Francisco, California",02/01/2019,1132979,1985
FSLR,First Solar,Information Technology,Semiconductors,"Tempe, Arizona",19/12/2022,1274494,1999
FE,FirstEnergy,Utilities,Electric Utilities,"Akron, Ohio",28/11/1997,1031296,1997
FIS,FIS,Information Technology,Data Processing & Outsourced Services,"Jacksonville, Florida",10/11/2006,1136893,1968
FISV,Fiserv,Information Technology,Data Processing & Outsourced Services,"Brookfield, Wisconsin",02/04/2001,798354,1984
FLT,Fleetcor,Information Technology,Data Processing & Outsourced Services,"Atlanta, Georgia",20/06/2018,1175454,2000
FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania",19/08/2009,37785,1883
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",04/03/1957,37996,1903
FTNT,Fortinet,Information Technology,Systems Software,"Sunnyvale, California",11/10/2018,1262039,2000
FTV,Fortive,Industrials,Industrial Machinery,"Everett, Washington",01/07/2016,1659166,2016
FOXA,Fox Corporation (Class A),Communication Services,Movies & Entertainment,"New York City, New York",01/07/2013,1754301,2019
FOX,Fox Corporation (Class B),Communication Services,Movies & Entertainment,"New York City, New York",18/09/2015,1754301,2019
BEN,Franklin Templeton,Financials,Asset Management & Custody Banks,"San Mateo, California",30/04/1998,38777,1947
FCX,Freeport-McMoRan,Materials,Copper,"Phoenix, Arizona",,831259,1912
GRMN,Garmin,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",12/12/2012,1121788,1989
IT,Gartner,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",05/04/2017,749251,1979
GEHC,GE HealthCare,Health Care,Health Care Technology,"Chicago, Illinois",04/01/2023,1932393,1994
GEN,Gen Digital,Information Technology,Application Software,"Tempe, Arizona",25/03/2003,849399,1982
GNRC,Generac,Industrials,Electrical Components & Equipment,"Waukesha, Wisconsin",22/03/2021,1474735,1959
GD,General Dynamics,Industrials,Aerospace & Defense,"Falls Church, Virginia",04/03/1957,40533,1899
GE,General Electric,Industrials,Industrial Conglomerates,"Boston, Massachusetts",04/03/1957,40545,1892
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",04/03/1957,40704,1856
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",06/06/2013,1467858,1908
GPC,Genuine Parts Company,Consumer Discretionary,Specialty Stores,"Atlanta, Georgia",31/12/1973,40987,1925
GILD,Gilead Sciences,Health Care,Biotechnology,"Foster City, California",01/07/2004,882095,1987
GL,Globe Life,Financials,Life & Health Insurance,"McKinney, Texas",30/04/1989,320335,1900
GPN,Global Payments,Information Technology,Data Processing & Outsourced Services,"Atlanta, Georgia",25/04/2016,1123360,2000
GS,Goldman Sachs,Financials,Investment Banking & Brokerage,"New York City, New York",22/07/2002,886982,1869
HAL,Halliburton,Energy,Oil & Gas Equipment & Services,"Houston, Texas",04/03/1957,45012,1919
HIG,Hartford (The),Financials,Property & Casualty Insurance,"Hartford, Connecticut",04/03/1957,874766,1810
HAS,Hasbro,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",30/09/1984,46080,1923
HCA,HCA Healthcare,Health Care,Health Care Facilities,"Nashville, Tennessee",27/01/2015,860730,1968
PEAK,Healthpeak,Real Estate,Health Care REITs,"Long Beach, California",31/03/2008,765880,1985
HSIC,Henry Schein,Health Care,Health Care Distributors,"Melville, New York",17/03/2015,1000228,1932
HSY,Hershey's,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",04/03/1957,47111,1894
HES,Hess Corporation,Energy,Integrated Oil & Gas,"New York City, New York",31/05/1984,4447,1919
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals","Houston, Texas",02/11/2015,1645590,2015
HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia",19/06/2017,1585689,1919
HOLX,Hologic,Health Care,Health Care Equipment,"Marlborough, Massachusetts",30/03/2016,859737,1985
HD,Home Depot (The),Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",31/03/1988,354950,1978
HON,Honeywell,Industrials,Industrial Conglomerates,"Charlotte, North Carolina",04/03/1957,773840,1906
HRL,Hormel Foods,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",04/03/2009,48465,1891
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",20/03/2007,1070750,1993
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,"Pittsburgh, Pennsylvania",04/03/1957,4281,2016
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",31/12/1974,47217,1939 (2015)
HUM,Humana,Health Care,Managed Health Care,"Louisville, Kentucky",,49071,1961
HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan",28/08/1997,49196,1866
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,"Newport News, Virginia",03/01/2018,1501585,2011
IBM,IBM,Information Technology,IT Consulting & Other Services,"Armonk, New York",04/03/1957,51143,1911
IEX,IDEX Corporation,Industrials,Industrial Machinery,"Lake Forest, Illinois",09/08/2019,832101,1988
IDXX,Idexx Laboratories,Health Care,Health Care Equipment,"Westbrook, Maine",05/01/2017,874716,1983
ITW,Illinois Tool Works,Industrials,Industrial Machinery,"Glenview, Illinois",28/02/1986,49826,1912
ILMN,Illumina,Health Care,Life Sciences Tools & Services,"San Diego, California",19/11/2015,1110803,1998
INCY,Incyte,Health Care,Biotechnology,"Wilmington, Delaware",28/02/2017,879169,1991
IR,Ingersoll Rand,Industrials,Industrial Machinery,"Davidson, North Carolina",03/03/2020,1699150,1859
INTC,Intel,Information Technology,Semiconductors,"Santa Clara, California",31/12/1976,50863,1968
